lead_time,no_of_special_requests,avg_price_per_room,arrival_date,arrival_month,no_of_week_nights,market_segment_type,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
3.295836866004329,0.0,5.087596335232384,17,10,0.6931471805599453,4,1.0986122886681098,2017,2,1
4.59511985013459,1.0986122886681098,4.808111029984782,16,7,0.6931471805599453,4,0.6931471805599453,2018,2,1
6.073044534100405,0.0,4.2626798770413155,8,9,1.3862943611198906,3,0.0,2018,2,0
5.278114659230517,0.0,4.293878247897177,8,8,1.791759469228055,3,1.0986122886681098,2018,2,1
5.241747015059643,0.0,4.875197323201151,15,6,1.0986122886681098,3,0.0,2018,1,0
4.31748811353631,0.6931471805599453,4.7318028369214575,6,4,1.3862943611198906,4,0.0,2018,2,0
5.6131281063880705,0.0,4.564348191467836,13,5,1.0986122886681098,3,0.6931471805599453,2018,2,0
1.9459101490553132,0.0,4.209160236650682,15,12,1.3862943611198906,4,0.6931471805599453,2018,2,1
4.499809670330265,0.6931471805599453,4.438643235092778,21,3,1.791759469228055,4,1.0986122886681098,2018,2,1
4.04305126783455,0.6931471805599453,5.198497031265826,20,3,0.0,4,1.0986122886681098,2018,2,0
4.6443908991413725,0.6931471805599453,4.747537427275013,12,7,1.791759469228055,4,0.6931471805599453,2018,2,1
5.049856007249537,0.0,4.77423762710363,30,8,2.4849066497880004,4,1.6094379124341003,2018,1,0
1.3862943611198906,0.0,4.86599480426999,11,6,0.6931471805599453,4,0.0,2018,2,1
5.198497031265826,0.0,4.795790545596741,10,10,1.0986122886681098,3,0.6931471805599453,2018,1,0
4.532599493153256,1.0986122886681098,4.50920979484218,12,7,1.6094379124341003,4,0.0,2018,2,1
4.04305126783455,0.0,4.418840607796598,17,9,1.0986122886681098,3,0.0,2017,2,1
5.634789603169249,0.0,4.709530201312334,12,10,1.3862943611198906,4,0.0,2018,2,0
4.90527477843843,0.6931471805599453,4.747537427275013,10,8,1.0986122886681098,4,0.0,2018,2,1
2.1972245773362196,0.6931471805599453,4.941642422609304,25,3,1.0986122886681098,4,0.0,2018,2,1
2.3978952727983707,1.0986122886681098,5.153291594497779,29,4,1.0986122886681098,4,1.0986122886681098,2018,3,1
